BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
1D,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1D CANTONMENT RD Singapore,1.27692024304713,103.841485788369,085401
1E,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1E CANTONMENT RD Singapore,1.27662168427368,103.841156142262,085501
1F,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1F CANTONMENT RD Singapore,1.27598699469414,103.841191762017,085601
1G,CANTONMENT RD,50,2009,Y,N,N,N,264,82,1G CANTONMENT RD Singapore,1.27553229128302,103.841274606704,085701
10,BENDEMEER RD,7,2016,N,N,N,Y,0,89,10 BENDEMEER RD Singapore,1.31550993783628,103.860952982979,330010
10,CANTONMENT CL,5,2000,N,N,N,Y,0,73,10 CANTONMENT CL Singapore,1.27456974280287,103.839212088396,080010
10,CHAI CHEE RD,15,1999,Y,Y,N,N,84,72,10 CHAI CHEE RD Singapore,1.32727572366021,103.924803599281,467010
10,DAKOTA CRES,7,1958,Y,N,N,N,53,31,10 DAKOTA CRES Singapore,1.30634114614887,103.884458183612,390010
10,EUNOS CRES,16,1977,Y,N,N,N,180,50,10 EUNOS CRES Singapore,1.32228655863065,103.902720513959,400010
10,GLOUCESTER RD,14,1976,Y,N,N,N,207,49,10 GLOUCESTER RD Singapore,1.31391658721965,103.852209769739,210010
10,HAIG RD,13,1976,Y,Y,N,N,133,49,10 HAIG RD Singapore,1.31483950176268,103.895865169739,430010
10,HOLLAND AVE,14,1973,Y,N,N,N,101,46,10 HOLLAND AVE Singapore,1.30814997104791,103.794275184926,271010
10,JLN KUKOH,12,1970,Y,Y,N,N,92,43,10 JLN KUKOH Singapore,1.2869738344398,103.839075823483,162010
10,JLN RUMAH TINGGI,4,1986,Y,N,N,N,28,59,10 JLN RUMAH TINGGI Singapore,1.28820018880462,103.808369387433,150010
10,JLN BATU,12,1966,Y,N,N,N,132,39,10 JLN BATU Singapore,1.30204488252463,103.882887148325,431010
10,JLN BT HO SWEE,10,1962,Y,N,N,N,120,35,10 JLN BT HO SWEE Singapore,1.28745837020188,103.832675765986,161010
10,JOO SENG RD,20,1982,Y,N,N,N,76,55,10 JOO SENG RD Singapore,1.33461833377097,103.88016502252,360010
10,LOR 7 TOA PAYOH,25,1997,Y,N,N,N,96,70,10 LOR 7 TOA PAYOH Singapore,1.33716527577081,103.857228807914,310010
10,MARSILING DR,22,1975,Y,Y,N,N,84,48,10 MARSILING DR Singapore,1.44080567418718,103.777318569996,730010
10,NTH BRIDGE RD,16,1973,Y,Y,N,N,224,46,10 NTH BRIDGE RD Singapore,1.3055523404779,103.863562821016,190010
10,PINE CL,13,1981,Y,N,N,N,120,54,10 PINE CL Singapore,1.30915239429834,103.882242524292,391010
10,SELEGIE RD,10,1963,Y,Y,N,N,48,36,10 SELEGIE RD Singapore,1.30370879401395,103.850537238747,180010
10,ST. GEORGE'S RD,4,1984,Y,N,N,N,12,57,10 ST. GEORGE'S RD Singapore,,,
10,TECK WHYE AVE,12,1977,Y,N,N,N,153,50,10 TECK WHYE AVE Singapore,1.38047054647235,103.755211077169,680010
